ts;date;gfs_ugrd;gfs_vgrd;gfs_gust;ecmwf_ugrd;ecmwf_vgrd;ecmwf_gust;icon_ugrd;icon_vgrd;icon_gust
1551816000;"05.03.2019 20:00";0.75166;-5.68386064;7.263008;0.49184762239998;-6.1078302400001;11.0133799168;0.45388819199997;-7.8475275328001;11.9815156992
1551819600;"05.03.2019 21:00";0.72335296;-5.47772624;7.0458408;1.3968929344;-5.7184318656001;10.4528476928;1.1337282624;-7.3564765504001;11.0254619136
1551823200;"05.03.2019 22:00";0.67995264;-5.61358544;7.0444408;1.8050262656;-5.7099985408001;10.730504;1.5675415616;-6.3486356416001;10.4185878912
1551826800;"05.03.2019 23:00";0.69971904;-5.77985136;7.2713408;2.2253969344;-5.7012327936001;11.0166287936;1.6288980416;-6.1193474624001;9.2252432704
1551830400;"06.03.2019 00:00";0.75470592;-5.92187136;7.3656736;2.6335137344;-5.6928008000001;11.2942851008;2.0836898048;-5.7093536576001;9.0444374336
1551834000;"06.03.2019 01:00";0.85292607999999;-5.99223808;7.5806408;2.910266112;-6.1078914944001;12.0078306176;2.178825408;-5.7598639616001;8.773960992
1551837600;"06.03.2019 02:00";1.0692992;-5.84472448;7.4278408;3.1953926848;-6.5355999744001;12.7429278656;1.9587812416;-5.9632959680001;9.007914112
1551841200;"06.03.2019 03:00";0.88554591999999;-5.9208368;7.440672;3.4722272;-6.9505920000001;13.6575951616;1.6498912256;-6.8279766208001;9.8812864448001
1551844800;"06.03.2019 04:00";0.89117951999999;-6.04634144;7.387936;3.2133285888;-7.0498620800001;13.7326166912;1.6688930176;-6.8157200448001;10.3078192576
1551848400;"06.03.2019 05:00";0.88157279999999;-6.225668;7.6984016;2.9466330752;-7.1520352512001;13.8098620992;1.8060266752;-6.6399879936001;9.8919746880001
1551852000;"06.03.2019 06:00";0.39891232;-6.50975088;7.9467016;2.6878147328;-7.2512069312001;13.8849004288;2.0716205888;-6.5656764928001;9.9432623040001
1551855600;"06.03.2019 07:00";-0.30888879999999;-6.47423936;7.623236;1.0528682432;-7.0576672000001;13.5531926272;1.4658764416;-6.1883012032001;9.5178422912
1551859200;"06.03.2019 08:00";-1.02215008;-6.6513816;7.1974688;-0.631633376;-6.8582456000001;13.211370496;-0.45561230080001;-6.392116192;9.2086200832
1551862800;"06.03.2019 09:00";-1.63321104;-6.4805488;6.5672032;-2.2665798656;-6.6647069312001;12.8795824256;-1.987079104;-5.7458167744;9.1121957888
1551866400;"06.03.2019 10:00";-1.75761792;-5.89666304;6.013472;-2.2869776384;-1.7655793536001;12.3991628608;-2.5646064256;-4.6322758016;8.7881819136
1551870000;"06.03.2019 11:00";-1.87371072;-5.15159008;5.0692328;-2.3079022976;3.281967424;11.9042145984;-2.8050065792;-3.0018400832;7.8580241088
1551873600;"06.03.2019 12:00";-1.96325088;-4.28416304;4.5118672;-2.3282347328;8.1810950016;11.4237953024;-3.0891430656;-1.8259078592;6.3865947776
