ts,wind_speed,wind_direction,wind_gust
1510909200,3.317141,217.195267,3.518072
1510920000,2.548677,288.376282,3.065595
1510930800,2.476526,318.370819,2.85311
1510941600,0.645858,322.582092,0.917431
1510952400,0.96671,196.92485,1.212857
1510963200,1.911128,169.676483,2.407915
1510974000,1.776674,167.96669,2.239649
1510984800,1.578367,178.521317,1.800136
1510995600,1.837826,305.268951,2.331975
1511006400,4.080938,326.629608,4.821344
1511017200,2.786518,325.683014,3.313501
1511028000,1.613295,0.680094,2.072116
1511038800,0.798246,9.822232,1.036255
1511049600,0.715064,215.009354,0.924364
1511060400,2.191681,209.099106,2.552081
1511071200,3.024599,210.979324,3.35803
1511082000,2.524303,262.869476,2.620643
1511092800,3.676397,296.521637,4.06236
1511103600,2.556031,303.715637,2.930046
1511114400,1.395229,274.198639,1.477916
1511125200,2.752671,215.513229,3.000704
1511136000,4.101702,203.11673,4.907227
1511146800,4.25377,202.589462,4.955893
1511157600,4.693953,209.330795,5.15232
1511168400,4.245322,234.72226,4.301427
1511179200,4.20649,251.008789,4.551141
1511190000,3.350748,253.604706,3.805356
1511200800,6.260406,181.775757,8.032125
1511211600,6.668071,168.879669,8.034589
1511222400,6.71462,168.404129,8.156798
1511233200,6.994464,168.143295,8.900001
1511244000,6.852437,171.735641,8.441039
1511254800,6.37138,186.995255,7.628386
1511265600,7.341798,200.203079,8.55409
1511276400,7.382451,193.496567,8.346535
1511287200,7.095678,172.377197,8.541038
1511298000,7.498034,178.55925,8.872685
1511308800,7.865197,178.162872,9.313449
1511319600,7.397342,174.63681,8.647906
1511330400,7.592351,174.052216,8.900001
1511341200,7.447963,184.083786,8.425147
1511352000,9.43287,190.351151,10.313501
1511362800,8.897411,177.995056,10.625147
1511373600,7.724141,166.140472,9.847886
1511384400,7.201667,167.574646,8.948382
1511395200,7.035815,167.631195,8.669583
1511406000,6.751421,168.790237,8.264557
1511416800,6.809444,170.828522,8.006516
1511427600,6.86289,188.538376,7.11903
1511438400,7.040781,194.854034,7.121106
1511449200,7.813656,188.397324,8.322288
1511460000,6.418586,169.059357,8.15678
1511470800,5.885028,166.60817,7.220961
1511481600,6.09756,167.845093,7.253343
1511492400,6.084074,170.272583,7.306836
1511503200,6.294684,174.749634,7.626489
1511514000,6.618115,189.53746,6.73137
1511524800,5.826444,192.811264,6.023051
1511535600,5.064263,186.43042,5.804686
1511546400,4.461317,176.581589,5.236328
1511557200,4.807493,174.754883,5.645509
1511568000,4.745983,177.98024,5.412935
1511578800,4.587686,178.1884,5.302345
1511589600,4.687703,180.682022,5.509582
1511600400,4.534245,208.570969,4.35289
1511611200,3.302833,244.27565,3.3
1511622000,2.769018,255.038071,2.973444
1511632800,3.371024,214.341522,3.723676
1511643600,3.74532,199.857178,4.519329
1511654400,3.96425,194.494553,4.80005
1511665200,4.321425,190.818863,5.140045
1511676000,4.950033,190.074692,5.708938
1511686800,5.915957,209.638611,5.608252
1511697600,5.635314,221.26265,5.62016
1511708400,5.563843,209.238113,6.562152
1511719200,5.547063,179.348083,6.815657
1511730000,5.241594,174.624512,6.133024
1511740800,5.043722,177.529846,5.926409
1511751600,5.230599,177.055573,6.142157
1511762400,5.333776,180.643417,6.23068
1511773200,5.628462,200.464844,5.626855
1511784000,4.876539,210.306625,4.970933
1511794800,4.442324,204.138138,5.3
1511805600,4.516726,182.285767,5.415996
1511816400,4.975647,179.727997,5.911401
1511827200,5.114322,180.903244,6.113159
1511838000,5.074107,176.824432,6.118301
1511848800,5.042247,182.308151,5.935159
1511859600,4.973423,202.616684,5.002796
1511870400,3.358383,229.895233,3.229872
1511881200,2.679447,232.36673,2.956226
1511892000,3.642293,205.169388,4.228063
1511902800,4.291282,187.301239,5.204512
1511913600,4.789129,185.767853,5.823379
1511924400,5.522467,181.61853,6.622304
1511935200,6.087932,179.499084,7.426652
1511946000,6.894764,193.640839,7.308084
1511956800,7.317387,202.291946,8.003613
1511967600,7.143742,190.348434,8.325849
1511978400,6.236646,172.755569,7.620625
1511989200,6.633655,173.075333,8.100247
1512000000,6.735735,170.882233,8.332507
1512010800,6.67883,167.658447,8.324729
1512021600,6.644868,170.896439,8.166148
1512032400,6.97328,186.254639,7.510877
1512043200,6.601068,188.716415,6.923193
1512054000,5.340775,175.519455,6.636133
1512064800,5.14472,163.811676,6.426578
1512075600,5.751693,161.954666,6.906543
1512086400,5.894427,164.738892,7.055151
1512097200,5.892751,167.424423,7.019825
1512108000,5.77269,170.327713,7.042385
1512118800,6.050517,189.144821,6.379785
1512129600,5.078132,191.014359,5.77102
1512140400,4.265604,179.739914,5.226937
1512151200,3.966368,160.374191,4.631767
1512162000,3.97498,167.237656,4.613739
1512172800,4.59527,170.513092,5.414571
1512183600,4.459497,171.969971,5.226823
1512194400,4.424832,176.013077,5.411341
1512205200,4.73929,196.209503,5.124095
1512216000,3.777955,201.523636,4.300756
1512226800,3.259315,190.215088,3.800488
1512237600,3.405643,162.965347,3.913965
1512248400,3.311963,162.726227,3.815346
1512259200,3.498867,172.542572,4.042792
1512270000,4.019785,172.539307,4.667527
1512280800,3.969028,174.093491,4.862795
1512291600,4.175529,195.420685,4.539984
1512302400,3.472977,201.270035,4.106836
1512313200,2.799695,186.068405,3.408386
1512324000,2.82774,163.218689,3.424219
1512334800,2.834439,167.623688,3.354412
1512345600,2.956689,169.988495,3.510788
1512356400,2.906378,175.893448,3.328019
1512367200,2.782909,179.419479,3.034277
1512378000,2.908069,203.82045,3.21484
1512388800,1.709652,231.050232,2
1512399600,0.496154,221.162506,0.822235
1512410400,0.727466,153.302521,0.947895
1512421200,0.916455,179.453094,1.304541
1512432000,1.263225,184.857193,1.717387
1512442800,1.225844,196.724258,1.607915
1512453600,1.146126,208.344467,1.557028
